location,Item,Brand,Model,Category,Status,Owner,Quantity,Serial number,Description,Notes
LA,[LM] DJI Mic Kit w/ Case,DJI,Mic,Audio,Missing,Liquid Media,1,4VGZM220214RC,,
LA,[LM] Rode SC19 USB-C to Lightening Cable,Rode,sc19,Audio,Missing,Liquid Media,1,,,
LA,[LM] Rode Wireless Go II - Set B,RODE,Wireless Go II,Audio,Missing,Liquid Media,1,HF0612982,,
LA,Audio Technica 2005 USB,Audio-Technica,2005 USB,Audio,Missing,BMC,1,Ballast: 6hx00h11852 | Light: 6hx00m11900,,
LA,Behringer X Air,Behringer,X Air,Audio,Missing,BMC,1,S201004569BI8,,
LA,Behringer X-Touch Compact Switcher,Behringer,X-Touch Compact Controller,Audio,Missing,BMC,1,S191100268B3L,,
LA,CLOUDLIFTER CL-1,Cloud Microphones,CL-1,Audio,Missing,BMC,1,,,
LA,CLOUDLIFTER CL-1,Cloud Microphones,CL-1,Audio,Missing,BMC,1,S201004569BI8,,
LA,CLOUDLIFTER CL-1,Cloud Microphones,CL-1,Audio,Missing,BMC,1,S191100268B3L,,
LA,CLOUDLIFTER CL-1,Cloud Microphones,CL-1,Audio,Missing,BMC,1,980714,,
LA,KTEC AVALON KEG-88CC,KTEC,AVALON KEG-88CC,Audio,Missing,BMC,1,,,
LA,NICAMA NC-MR W/BLIMP,NICAMA,NC-MR,Audio,Good,BMC,1,,,
LA,Senheiser MKE600 [2],Senheiser,MKE600,Audio,Missing,BMC,1,BN211905302BG,,
LA,Shure SM-58 Microphone Kit [1],Shure,SM-58 Microphone Kit,Audio,Good,BMC,1,3RI2684420,,
LA,Shure SM-58 Microphone Kit [2],Shure,SM-58 Microphone Kit,Audio,Good,BMC,1,3QK1837921,,
LA,Shure SM7B [1],Shure,SM7B,Audio,Missing,BMC,1,5134175922 | 5373101245,,
LA,Shure SM7B [2],Shure,SM7B,Audio,Missing,BMC,1,4336208974,,
LA,Shure SM7B [3],Shure,SM7B,Audio,Missing,BMC,1,4524159281,,
LA,Sony URX-B40 LAV Transmitter & Receiver [2],Sony,URX-B40,Audio,Missing,BMC,1,100176,Monitor,
LA,Sony XLR-A2M,Sony,XLR-A2M,Audio,Missing,BMC,1,3000947,,
LA,Sony XLR-H1,Sony,XLRH1 X,Audio,Good,BMC,1,,,
LA,"Sony XLR- H1 ",Sony,XLR-K2M XLR Adapter Kit,Audio,Needs Repair,BMC,1,100177,,"Bottom is broken "
LA,Sound Devices MixPre-6 Field Recorder,Sound Devices,MixPre-6,Audio,Missing,BMC,1,TH0721139277,,
LA,STEINBERG UR22C,STEINBERG,UR22C,Audio,Missing,BMC,1,YEAM05343,,
LA,Ultimate Support MC 125 #1,Ultimate Support,MC 125,Audio,Missing,BMC,1,AF12-000366-01,,
LA,Ultimate Support MC 125 #2,Ultimate Support,MC 125,Audio,Missing,BMC,1,AI01-001526-05,,
LA,Rode Link LAV Transmitter & Receiver,Rode,Link LAV,Audio/Audio Lavs,Missing,BMC,1,CT0003158,,
LA,Rode RX/TX Packs,Rode,RX/TX Packs,Audio/Audio Lavs,Missing,BMC,1,TPDN003877968,,
LA,Sennheiser SK 100 G4 Transmitter,Sennheiser,SK 100 G4,Audio/Audio Lavs,Good,BMC,1,5163163190 | 5393101764,,
LA,"Sennheiser SK 100 G4 Transmitter ",Sennheiser,SK 100 G4,Audio/Audio Lavs,Good,BMC,1,5134175922 | 5373101245,,
LA,Sennheiser SK-100 LAV G3 Transmitter,Sennheiser,SK 100 G3,Audio/Audio Lavs,Good,BMC,1,4336208974,,
LA,Sennheiser SK-100 G3  Transmitter,Sennheiser,SK 100 G3,Audio/Audio Lavs,Good,BMC,1,4524159281,,
LA,"Sennheiser EK-100 LAV  Receiver ",Sennheiser,EK 100,Audio/Audio Lavs,Good,BMC,1,4524101424,,
LA,Sennheiser SK - AVX,Sennheiser,avx,Audio/Audio Lavs,Good,BMC,1,1173206340,,
LA,Sennheiser SK - AVX,Sennheiser,avx,Audio/Audio Lavs,Good,BMC,1,5074215885,,
LA,Sennheiser SK - AVX,Sennheiser,avx,Audio/Audio Lavs,Good,BMC,1,1253207594,,
LA,Sennheiser SK-  AVX,Sennheiser,avx,Audio/Audio Lavs,Good,BMC,1,5064214919,,
LA,Sennheiser EK 100 G4,Sennheiser,EK 100 G4,Audio/Audio Lavs,Good,BMC,1,5393101764,,
LA,Sennheiser EK-100 Receiver G3,Sennheiser,EK-100 Reciever G3,Audio/Audio Lavs,Good,BMC,1,4336133284,,
LA,Sennheiser EK-100 Receiver G3,Sennheiser,EK-100 Receiver G3,Audio/Audio Lavs,Good,BMC,1,4205108498,,
LA,Sennheiser EW-100 Receiver G3,Sennheiser,EW-100 Reciever G3,Audio/Audio Lavs,Missing,BMC,1,1,,
LA,Sennheiser EW-100 Transmitter G3,Sennheiser,EW-100 Transmitter G3,Audio/Audio Lavs,Missing,BMC,1,,,
LA,Sennheiser EW-100 Transmitter G3,Sennheiser,EW-100 Transmitter G3,Audio/Audio Lavs,Missing,BMC,1,,,
LA,Sony URX-P40 Reciever,Sony,URX-P40 Reciever,Audio/Audio Lavs,Missing,BMC,1,1012206,,
LA,Sony URX-P40 Reciever,Sony,URX-P40 Reciever,Audio/Audio Lavs,Missing,BMC,1,4808267,,
LA,Sony URX-P40 Transmitter,Sony,URX-P40,Audio/Audio Lavs,Missing,BMC,1,100177,SONY TOUGH A #1,
LA,Sony UTX-B40 Transmitter,Sony,UTX-B40,Audio/Audio Lavs,Missing,BMC,1,100176,SONY TOUGH A #2,
LA,Sony UWP-D21 LAV,Sony,UWP-D21 LAV,Audio/Audio Lavs,Missing,BMC,1,CGX282223TVDKAC6006A05,SONY TOUGH 128GB #3,
LA,Sony UWP-D21 LAV,Sony,UWP-D21 LAV,Audio/Audio Lavs,Missing,BMC,1,CGX282136TVDKAB9010A01,SONY TOUGH 128GB #4,
LA,[LM] Rode Interview Mic 001,Rode,Interview Go,Audio/Audio Mics,Missing,Liquid Media,1,,RX100,
LA,[LM] Rode Interview Mic 002,Rode,Interview Go,Audio/Audio Mics,Missing,Liquid Media,1,,RX100,
LA,Audio Techinca AT 200 5 USB,Audio-Technica,AT 200 5 USB,Audio/Audio Mics,Good,BMC,1,,,
LA,Audio Techinca Pro44 Cardiod,Audio-Technica,Pro44 Cardiod,Audio/Audio Mics,Missing,BMC,1,Ballast: 6hx00g10096 | Light:6hx00h11852,,
LA,Core DPA Screet - Lav Mic,Core DPA,Screet - Lav Mic,Audio/Audio Mics,Missing,BMC,1,580708,,
LA,Core DPA Screet - Lav Mic,Core DPA,Screet - Lav Mic,Audio/Audio Mics,Missing,BMC,1,580713,,
LA,OnStage Gooseneck Microphone,OnStage,Gooseneck Microphone,Audio/Audio Mics,Missing,BMC,1,,,
LA,Rode NTG4+ (Shotgun) [1],Rode,NTG4+ (Shotgun),Audio/Audio Mics,Good,BMC,1,CQ0005628,,
LA,Rode Reporter,Rode,Reporter,Audio/Audio Mics,Good,BMC,1,2312,,
LA,"Rode Reporter ",Rode,Reporter,Audio/Audio Mics,Good,BMC,1,2938,,
LA,Rode VideoMic Pro [2],Rode,VideoMic Pro,Audio/Audio Mics,Good,BMC,1,CR0028289,,
LA,Rode VideoMic Pro+ [1],Rode,VideoMic Pro+,Audio/Audio Mics,Good,BMC,1,DU0103733,,
LA,Rode VideoMic Pro+ [2],Rode,VideoMic Pro+,Audio/Audio Mics,Good,BMC,1,DU0103721,,
LA,Rode VideoMic Pro+ [3],Rode,VideoMic Pro+,Audio/Audio Mics,Missing,BMC,1,DU0017621,,
LA,Rode VIDEOMICRO,Rode,VIDEOMICRO,Audio/Audio Mics,Good,BMC,1,DC0001998,,
LA,Sennheiser MKE 600,Sennheiser,MKE 600,Audio/Audio Mics,Good,BMC,1,,,
LA,Sennheiser MKE 600,Sennheiser,MKE 600,Audio/Audio Mics,Good,BMC,1,,,
LA,Sony ECM-XM1 [1],Sony,ECM-XM1,Audio/Audio Mics,Good,BMC,1,1030225,,
LA,Sony ECM-XM1 [2],Sony,ECM-XM1,Audio/Audio Mics,Missing,BMC,1,1029678,,
LA,Sure SM58A Wireless w/ Reciever,Sure,SM58A Wireless w/ Reciever,Audio/Audio Mics,Good,BMC,1,,,
LA,Sure SM58A Wireless w/ Reciever,Sure,SM58A Wireless w/ Reciever,Audio/Audio Mics,Missing,BMC,1,,,
LA,Sure SM7B,Sure,SM7B,Audio/Audio Mics,Missing,BMC,1,YEAM05343,,
LA,Sure SM7B,Sure,SM7B,Audio/Audio Mics,Missing,BMC,1,,,
LA,Audio Techinca MX-20,Audio-Technica,MX-20,Audio/Audio Misc,Good,BMC,1,,,
LA,Audio Techinca MX-20,Audio-Technica,MX-20,Audio/Audio Misc,Good,BMC,1,Ballast: 6fa02n28460 | Light:6fa02n28460,,
LA,Audio Techinca MX-30,Audio-Technica,MX-30,Audio/Audio Misc,Missing,BMC,1,Ballast: 6fa02m28498 | Light: 6fa02m28498,,
LA,Berhinger XAIR-18,Berhinger,XAIR-18,Audio/Audio Misc,Missing,BMC,1,N/A,MAGIC FULL DIFF CLOTH - 1/4 DIFF CLOTH- GRID,
LA,Diety VO-7U USB PODCAST Kit,Diety,VO-7U USB PODCAST Kit,Audio/Audio Misc,Missing,BMC,1,7385005750,,
LA,Diety VO-7U USB PODCAST Kit,Diety,VO-7U USB PODCAST Kit,Audio/Audio Misc,Missing,BMC,1,,,
LA,PortaBrace Field Audio Bag for MixPre-6 Recorder,PortaBrace,Field Audio Bag for MixPre-6 Recorder,Audio/Audio Misc,Missing,BMC,1,,,
LA,ProBoom Ultama Gen 2 Ultra low profile Mic boom,ProBoom Ultama,Gen 2 Ultra low profile Mic boom,Audio/Audio Misc,Good,BMC,1,,,
LA,ProBoom Ultama Gen 2 Ultra low profile Mic boom,ProBoom Ultama,Gen 2 Ultra low profile Mic boom,Audio/Audio Misc,Missing,BMC,1,,BROKEN THROWN OUT,
LA,ProBoom Ultama Gen 2 Ultra low profile Mic boom,ProBoom Ultama,Gen 2 Ultra low profile Mic boom,Audio/Audio Misc,Missing,BMC,1,,BROKEN THROWN OUT,
LA,Tentacle Sync SYNC E  MKII TIME CODE GENERATOR (CODY SYNCER),Tentacle Sync,SYNC E MKIITIME CODE GENERATOR,Audio/Audio Misc,Good,BMC,1,n/a,,
LA,Tentacle Sync SYNC E  MKII TIME CODE GENERATOR (Time&Syncer),Tentacle Sync,SYNC E MKIITIME CODE GENERATOR,Audio/Audio Misc,Good,BMC,1,n/a,,
LA,Ultimate support  MC-125,Ultimate Support,MC-125,Audio/Audio Misc,Missing,BMC,1,,,
LA,Ultimate support  MC-125,Ultimate Support,MC-125,Audio/Audio Misc,Missing,BMC,1,,,
LA,[LM] Rode Wireless Go II - Set A,Rode,Wireless Go,Audio/Audio Recorders,Missing,Liquid Media,1,HH0520120,,
LA,Sound Devices MixPre-6 Recorder,Sound Devices,MixPre-6 Recorder,Audio/Audio Recorders,Missing,BMC,1,100176,,
LA,Zoom H8,Zoom,H8,Audio/Audio Recorders,Missing,BMC,1,C52019555,,
LA,Rode  21/22,Rode,21/22,Audio/Audio Wind Screens,Missing,BMC,1,,,
LA,Rode  Blimp,Rode,Blimp,Audio/Audio Wind Screens,Missing,BMC,1,,,
LA,[LM] SmallRig NP-F970 Duel-Battery & Charger Kit,SmallRig,NP-F970 Duel-Battery & Charger Kit,Batteries,Good,Liquid Media,1,3QK1837921,,
LA,[LM] SmallRig NP-F970 Duel-Battery & Charger Kit,SmallRig,NP-F970 Duel-Battery & Charger Kit,Batteries,Good,Liquid Media,1,,,
LA,Battery Pack NP-F550 [1],Battery Pack,NP-F550,Batteries,Good,BMC,1,6bq03u25262,,
LA,Battery Pack NP-F550 [2],Battery Pack,NP-F550,Batteries,Good,BMC,1,,,
LA,Canon LP-E6 001,Canon,LP-E6,Batteries,Good,BMC,1,6EC00C18329,,
LA,Canon LP-E6 002,Canon,LP-E6,Batteries,Good,BMC,1,,,
LA,Canon LP-E6 003,Canon,LP-E6,Batteries,Good,BMC,1,,,
LA,Canon LP-E6 004,Canon,LP-E6,Batteries,Good,BMC,1,,,
LA,Canon LP-E6 005,Canon,LP-E6,Batteries,Good,BMC,1,,,
LA,Canon LP-E6 006,Canon,LP-E6,Batteries,Good,BMC,1,6ec00v18353,,
LA,Canon LP-E6 007,Canon,LP-E6,Batteries,Good,BMC,1,6dy02r50012,,
